article,original,compare,original_photo,compare_photo,distance
data-quentes/jeffrey_dahmer/,pt,en,2240px-Columbia_Correctional_Institution_Wisconsin_with_guard_tower.jpg,2240px-Konerak_Sinthasomphone.jpg,0.9688507188111544
data-quentes/jeffrey_dahmer/,pt,de,2240px-Jeffrey_Dahmer_HS_Yearbook.jpg,2240px-Milwaukee_County_Courthouse.jpg,0.9844851512461901
data-quentes/jeffrey_dahmer/,pt,en,2240px-Jeffrey_Dahmer_HS_Yearbook.jpg,2240px-Jeffrey_Dahmer_Altar_or_Shrine_Hand_Drawing_1991A.jpg,0.9445920512080193
data-quentes/jeffrey_dahmer/,pt,de,2240px-Jeffrey_Dahmer_HS_Yearbook.jpg,2240px-Jeffrey_Dahmer_HS_Yearbook.jpg,0.0
data-quentes/jeffrey_dahmer/,pt,en,2240px-Columbia_Correctional_Institution_Wisconsin_with_guard_tower.jpg,2240px-Jeffrey_Dahmer_HS_Yearbook.jpg,0.9831183440983295
data-quentes/jeffrey_dahmer/,pt,de,2240px-Columbia_Correctional_Institution_Wisconsin_with_guard_tower.jpg,2240px-Columbia_Correctional_Institution_Wisconsin_with_guard_tower.jpg,0.0
data-quentes/jeffrey_dahmer/,pt,en,2240px-Jeffrey_Dahmer_HS_Yearbook.jpg,2240px-Konerak_Sinthasomphone.jpg,0.7397548258304596
data-quentes/jeffrey_dahmer/,pt,en,2240px-Jeffrey_Dahmer_HS_Yearbook.jpg,2240px-57_gallon_drum_924_N_25th_Street_Jeffrey_DahmerAa.jpg,0.9637877121567726
data-quentes/jeffrey_dahmer/,pt,en,2240px-Columbia_Correctional_Institution_Wisconsin_with_guard_tower.jpg,2240px-Jeffrey_Dahmer_Baumholder_Army_Alcohol_RodriguezA.jpg,0.9814821910113096
data-quentes/jeffrey_dahmer/,pt,es,2240px-Jeffrey_Dahmer_HS_Yearbook.jpg,2240px-Kyle-cassidy-josh-hitchens-jeffrey-dahmer.jpg,0.9436599016189575
data-quentes/jeffrey_dahmer/,pt,de,2240px-Jeffrey_Dahmer_HS_Yearbook.jpg,2240px-Usa_edcp_%28%2BHI_%2BAK%29_location_map.svg.png,0.9295203983783722
data-quentes/jeffrey_dahmer/,en,es,2240px-57_gallon_drum_924_N_25th_Street_Jeffrey_DahmerAa.jpg,2240px-Kyle-cassidy-josh-hitchens-jeffrey-dahmer.jpg,0.8925788104534149
data-quentes/jeffrey_dahmer/,en,es,2240px-57_gallon_drum_924_N_25th_Street_Jeffrey_DahmerAa.jpg,2240px-Revere_High_School_8-4-22_%282%29.jpg,0.9426310583949089
data-quentes/jeffrey_dahmer/,en,es,2240px-Anthony_Hughes_1977.png,2240px-Jeffrey_Dahmer_HS_Yearbook.jpg,0.8180883526802063
data-quentes/jeffrey_dahmer/,pt,fr,2240px-Jeffrey_Dahmer_HS_Yearbook.jpg,2240px-Jeffrey_Dahmer_HS_Yearbook.jpg,0.0
data-quentes/jeffrey_dahmer/,en,es,2240px-Anthony_Hughes_1977.png,2240px-Kyle-cassidy-josh-hitchens-jeffrey-dahmer.jpg,0.9123667031526566
data-quentes/jeffrey_dahmer/,en,es,2240px-Columbia_Correctional_Institution_Wisconsin_with_guard_tower.jpg,2240px-Jeffrey_Dahmer_HS_Yearbook.jpg,0.9831183440983295
data-quentes/jeffrey_dahmer/,en,es,2240px-Columbia_Correctional_Institution_Wisconsin_with_guard_tower.jpg,2240px-Kyle-cassidy-josh-hitchens-jeffrey-dahmer.jpg,0.9378996975719929
data-quentes/jeffrey_dahmer/,en,es,2240px-57_gallon_drum_924_N_25th_Street_Jeffrey_DahmerAa.jpg,2240px-Jeffrey_Dahmer_HS_Yearbook.jpg,0.9637877121567726
data-quentes/jeffrey_dahmer/,en,es,2240px-Jeffrey_Dahmer_Baumholder_Army_Alcohol_RodriguezA.jpg,2240px-Jeffrey_Dahmer_HS_Yearbook.jpg,0.8816660717129707
data-quentes/jeffrey_dahmer/,en,es,2240px-Columbia_Correctional_Institution_Wisconsin_with_guard_tower.jpg,2240px-Revere_High_School_8-4-22_%282%29.jpg,0.8438117057085037
data-quentes/jeffrey_dahmer/,en,es,2240px-Anthony_Hughes_1977.png,2240px-Revere_High_School_8-4-22_%282%29.jpg,0.9553361721336842
data-quentes/jeffrey_dahmer/,en,es,2240px-Jeffrey_Dahmer_Altar_or_Shrine_Hand_Drawing_1991A.jpg,2240px-Jeffrey_Dahmer_HS_Yearbook.jpg,0.9445920512080193
data-quentes/jeffrey_dahmer/,en,es,2240px-Jeffrey_Dahmer_Altar_or_Shrine_Hand_Drawing_1991A.jpg,2240px-Revere_High_School_8-4-22_%282%29.jpg,0.9655235633254051
data-quentes/jeffrey_dahmer/,en,es,2240px-Jeffrey_Dahmer_HS_Yearbook.jpg,2240px-Jeffrey_Dahmer_HS_Yearbook.jpg,0.0
data-quentes/jeffrey_dahmer/,en,es,2240px-Jeffrey_Dahmer_Baumholder_Army_Alcohol_RodriguezA.jpg,2240px-Kyle-cassidy-josh-hitchens-jeffrey-dahmer.jpg,0.9143745750188828
data-quentes/jeffrey_dahmer/,en,es,2240px-Jeffrey_Dahmer_Baumholder_Army_Alcohol_RodriguezA.jpg,2240px-Revere_High_School_8-4-22_%282%29.jpg,0.9429235979914665
data-quentes/jeffrey_dahmer/,en,es,2240px-Jeffrey_Dahmer_Altar_or_Shrine_Hand_Drawing_1991A.jpg,2240px-Kyle-cassidy-josh-hitchens-jeffrey-dahmer.jpg,0.9053987562656403
data-quentes/jeffrey_dahmer/,en,es,2240px-Jeffrey_Dahmer_Milwaukee_Police_1991_mugshot.jpg,2240px-Jeffrey_Dahmer_HS_Yearbook.jpg,0.8444679081439972
data-quentes/jeffrey_dahmer/,en,es,2240px-Jeffrey_Dahmer_Milwaukee_Police_1991_mugshot.jpg,2240px-Kyle-cassidy-josh-hitchens-jeffrey-dahmer.jpg,0.9407912753522396
data-quentes/jeffrey_dahmer/,en,es,2240px-Jeffrey_Dahmer_Milwaukee_Police_1991_mugshot.jpg,2240px-Revere_High_School_8-4-22_%282%29.jpg,0.9640389755368233
data-quentes/jeffrey_dahmer/,en,es,2240px-Jeffrey_Dahmer_HS_Yearbook.jpg,2240px-Kyle-cassidy-josh-hitchens-jeffrey-dahmer.jpg,0.9436599016189575
data-quentes/jeffrey_dahmer/,en,es,2240px-Konerak_Sinthasomphone.jpg,2240px-Jeffrey_Dahmer_HS_Yearbook.jpg,0.7397548258304596
data-quentes/jeffrey_dahmer/,en,es,2240px-Konerak_Sinthasomphone.jpg,2240px-Kyle-cassidy-josh-hitchens-jeffrey-dahmer.jpg,0.9371999949216843
data-quentes/jeffrey_dahmer/,en,es,2240px-Jeffrey_Dahmer_HS_Yearbook.jpg,2240px-Revere_High_School_8-4-22_%282%29.jpg,0.9698084443807602
data-quentes/jeffrey_dahmer/,en,es,2240px-Kyle-cassidy-josh-hitchens-jeffrey-dahmer.jpg,2240px-Revere_High_School_8-4-22_%282%29.jpg,0.9173508286476135
data-quentes/jeffrey_dahmer/,en,es,2240px-Konerak_Sinthasomphone.jpg,2240px-Revere_High_School_8-4-22_%282%29.jpg,0.9518749341368675
data-quentes/jeffrey_dahmer/,en,es,2240px-Kyle-cassidy-josh-hitchens-jeffrey-dahmer.jpg,2240px-Kyle-cassidy-josh-hitchens-jeffrey-dahmer.jpg,0.0
data-quentes/jeffrey_dahmer/,en,de,2240px-57_gallon_drum_924_N_25th_Street_Jeffrey_DahmerAa.jpg,2240px-Columbia_Correctional_Institution_Wisconsin_with_guard_tower.jpg,0.9542747996747494
data-quentes/jeffrey_dahmer/,en,de,2240px-57_gallon_drum_924_N_25th_Street_Jeffrey_DahmerAa.jpg,2240px-Jeffrey_Dahmer_HS_Yearbook.jpg,0.9637877121567726
data-quentes/jeffrey_dahmer/,en,es,2240px-Steven_Tuomi_1979.png,2240px-Revere_High_School_8-4-22_%282%29.jpg,0.9482672326266766
data-quentes/jeffrey_dahmer/,en,de,2240px-57_gallon_drum_924_N_25th_Street_Jeffrey_DahmerAa.jpg,2240px-Shops_of_Grand_Avenue.jpg,0.8929408118128777
data-quentes/jeffrey_dahmer/,en,de,2240px-Anthony_Hughes_1977.png,2240px-Jeffrey_Dahmer_HS_Yearbook.jpg,0.8180883526802063
data-quentes/jeffrey_dahmer/,en,es,2240px-Steven_Tuomi_1979.png,2240px-Kyle-cassidy-josh-hitchens-jeffrey-dahmer.jpg,0.9111747890710831
data-quentes/jeffrey_dahmer/,en,de,2240px-57_gallon_drum_924_N_25th_Street_Jeffrey_DahmerAa.jpg,2240px-Milwaukee_County_Courthouse.jpg,0.9644787386059761
data-quentes/jeffrey_dahmer/,en,de,2240px-Anthony_Hughes_1977.png,2240px-Shops_of_Grand_Avenue.jpg,0.9476510621607304
data-quentes/jeffrey_dahmer/,en,de,2240px-Anthony_Hughes_1977.png,2240px-Usa_edcp_%28%2BHI_%2BAK%29_location_map.svg.png,0.919423058629036
data-quentes/jeffrey_dahmer/,en,es,2240px-Steven_Tuomi_1979.png,2240px-Jeffrey_Dahmer_HS_Yearbook.jpg,0.6695987582206726
data-quentes/jeffrey_dahmer/,en,de,2240px-57_gallon_drum_924_N_25th_Street_Jeffrey_DahmerAa.jpg,2240px-Usa_edcp_%28%2BHI_%2BAK%29_location_map.svg.png,0.8689236044883728
data-quentes/jeffrey_dahmer/,en,de,2240px-Anthony_Hughes_1977.png,2240px-Columbia_Correctional_Institution_Wisconsin_with_guard_tower.jpg,0.9585485085844994
data-quentes/jeffrey_dahmer/,en,de,2240px-Anthony_Hughes_1977.png,2240px-Milwaukee_County_Courthouse.jpg,0.9729996901005507
data-quentes/jeffrey_dahmer/,en,de,2240px-Columbia_Correctional_Institution_Wisconsin_with_guard_tower.jpg,2240px-Columbia_Correctional_Institution_Wisconsin_with_guard_tower.jpg,0.0
data-quentes/jeffrey_dahmer/,en,de,2240px-Columbia_Correctional_Institution_Wisconsin_with_guard_tower.jpg,2240px-Jeffrey_Dahmer_HS_Yearbook.jpg,0.9831183440983295
data-quentes/jeffrey_dahmer/,en,de,2240px-Columbia_Correctional_Institution_Wisconsin_with_guard_tower.jpg,2240px-Milwaukee_County_Courthouse.jpg,0.8031309396028519
data-quentes/jeffrey_dahmer/,en,de,2240px-Jeffrey_Dahmer_Altar_or_Shrine_Hand_Drawing_1991A.jpg,2240px-Columbia_Correctional_Institution_Wisconsin_with_guard_tower.jpg,0.9628534913063049
data-quentes/jeffrey_dahmer/,en,de,2240px-Columbia_Correctional_Institution_Wisconsin_with_guard_tower.jpg,2240px-Shops_of_Grand_Avenue.jpg,0.9282932132482529
data-quentes/jeffrey_dahmer/,en,de,2240px-Columbia_Correctional_Institution_Wisconsin_with_guard_tower.jpg,2240px-Usa_edcp_%28%2BHI_%2BAK%29_location_map.svg.png,0.9409403800964355
data-quentes/jeffrey_dahmer/,en,de,2240px-Jeffrey_Dahmer_Baumholder_Army_Alcohol_RodriguezA.jpg,2240px-Columbia_Correctional_Institution_Wisconsin_with_guard_tower.jpg,0.9814821910113096
data-quentes/jeffrey_dahmer/,en,de,2240px-Jeffrey_Dahmer_Baumholder_Army_Alcohol_RodriguezA.jpg,2240px-Milwaukee_County_Courthouse.jpg,0.9780055899173021
data-quentes/jeffrey_dahmer/,en,de,2240px-Jeffrey_Dahmer_Baumholder_Army_Alcohol_RodriguezA.jpg,2240px-Shops_of_Grand_Avenue.jpg,0.9552529864013195
data-quentes/jeffrey_dahmer/,en,de,2240px-Jeffrey_Dahmer_Altar_or_Shrine_Hand_Drawing_1991A.jpg,2240px-Jeffrey_Dahmer_HS_Yearbook.jpg,0.9445920512080193
data-quentes/jeffrey_dahmer/,en,de,2240px-Jeffrey_Dahmer_HS_Yearbook.jpg,2240px-Milwaukee_County_Courthouse.jpg,0.9844851512461901
data-quentes/jeffrey_dahmer/,en,de,2240px-Jeffrey_Dahmer_Altar_or_Shrine_Hand_Drawing_1991A.jpg,2240px-Milwaukee_County_Courthouse.jpg,0.9643117897212505
data-quentes/jeffrey_dahmer/,en,de,2240px-Jeffrey_Dahmer_Baumholder_Army_Alcohol_RodriguezA.jpg,2240px-Jeffrey_Dahmer_HS_Yearbook.jpg,0.8816660717129707
data-quentes/jeffrey_dahmer/,en,de,2240px-Jeffrey_Dahmer_Altar_or_Shrine_Hand_Drawing_1991A.jpg,2240px-Usa_edcp_%28%2BHI_%2BAK%29_location_map.svg.png,0.8076723963022232
data-quentes/jeffrey_dahmer/,en,de,2240px-Jeffrey_Dahmer_Baumholder_Army_Alcohol_RodriguezA.jpg,2240px-Usa_edcp_%28%2BHI_%2BAK%29_location_map.svg.png,0.9118068814277649
data-quentes/jeffrey_dahmer/,en,de,2240px-Jeffrey_Dahmer_HS_Yearbook.jpg,2240px-Jeffrey_Dahmer_HS_Yearbook.jpg,0.0
data-quentes/jeffrey_dahmer/,en,de,2240px-Jeffrey_Dahmer_HS_Yearbook.jpg,2240px-Shops_of_Grand_Avenue.jpg,0.9653957709670067
data-quentes/jeffrey_dahmer/,en,de,2240px-Jeffrey_Dahmer_HS_Yearbook.jpg,2240px-Usa_edcp_%28%2BHI_%2BAK%29_location_map.svg.png,0.9295203983783722
data-quentes/jeffrey_dahmer/,en,de,2240px-Jeffrey_Dahmer_Milwaukee_Police_1991_mugshot.jpg,2240px-Jeffrey_Dahmer_HS_Yearbook.jpg,0.8444679081439972
data-quentes/jeffrey_dahmer/,en,de,2240px-Jeffrey_Dahmer_Milwaukee_Police_1991_mugshot.jpg,2240px-Columbia_Correctional_Institution_Wisconsin_with_guard_tower.jpg,0.9765747785568237
data-quentes/jeffrey_dahmer/,en,de,2240px-Jeffrey_Dahmer_Altar_or_Shrine_Hand_Drawing_1991A.jpg,2240px-Shops_of_Grand_Avenue.jpg,0.9477451853454113
data-quentes/jeffrey_dahmer/,en,de,2240px-Jeffrey_Dahmer_Milwaukee_Police_1991_mugshot.jpg,2240px-Shops_of_Grand_Avenue.jpg,0.9494258426129818
data-quentes/jeffrey_dahmer/,en,de,2240px-Jeffrey_Dahmer_Milwaukee_Police_1991_mugshot.jpg,2240px-Usa_edcp_%28%2BHI_%2BAK%29_location_map.svg.png,0.940048087388277
data-quentes/jeffrey_dahmer/,en,de,2240px-Jeffrey_Dahmer_Milwaukee_Police_1991_mugshot.jpg,2240px-Milwaukee_County_Courthouse.jpg,0.9799899943172932
data-quentes/jeffrey_dahmer/,en,de,2240px-Konerak_Sinthasomphone.jpg,2240px-Milwaukee_County_Courthouse.jpg,0.9643677473068237
data-quentes/jeffrey_dahmer/,en,de,2240px-Konerak_Sinthasomphone.jpg,2240px-Columbia_Correctional_Institution_Wisconsin_with_guard_tower.jpg,0.9688507188111544
data-quentes/jeffrey_dahmer/,en,de,2240px-Konerak_Sinthasomphone.jpg,2240px-Jeffrey_Dahmer_HS_Yearbook.jpg,0.7397548258304596
data-quentes/jeffrey_dahmer/,en,de,2240px-Konerak_Sinthasomphone.jpg,2240px-Shops_of_Grand_Avenue.jpg,0.9622589722275734
data-quentes/jeffrey_dahmer/,en,de,2240px-Kyle-cassidy-josh-hitchens-jeffrey-dahmer.jpg,2240px-Milwaukee_County_Courthouse.jpg,0.9618628621101379
data-quentes/jeffrey_dahmer/,en,de,2240px-Kyle-cassidy-josh-hitchens-jeffrey-dahmer.jpg,2240px-Shops_of_Grand_Avenue.jpg,0.9253729358315468
data-quentes/jeffrey_dahmer/,en,de,2240px-Konerak_Sinthasomphone.jpg,2240px-Usa_edcp_%28%2BHI_%2BAK%29_location_map.svg.png,0.9000599831342697
data-quentes/jeffrey_dahmer/,en,it,2240px-57_gallon_drum_924_N_25th_Street_Jeffrey_DahmerAa.jpg,2240px-Jeffrey_Dahmer_HS_Yearbook.jpg,0.9637877121567726
data-quentes/jeffrey_dahmer/,en,de,2240px-Kyle-cassidy-josh-hitchens-jeffrey-dahmer.jpg,2240px-Usa_edcp_%28%2BHI_%2BAK%29_location_map.svg.png,0.9311668202280998
data-quentes/jeffrey_dahmer/,en,de,2240px-Steven_Tuomi_1979.png,2240px-Columbia_Correctional_Institution_Wisconsin_with_guard_tower.jpg,0.9781397972255945
data-quentes/jeffrey_dahmer/,en,de,2240px-Kyle-cassidy-josh-hitchens-jeffrey-dahmer.jpg,2240px-Jeffrey_Dahmer_HS_Yearbook.jpg,0.9436599016189575
data-quentes/jeffrey_dahmer/,en,de,2240px-Kyle-cassidy-josh-hitchens-jeffrey-dahmer.jpg,2240px-Columbia_Correctional_Institution_Wisconsin_with_guard_tower.jpg,0.9378996975719929
data-quentes/jeffrey_dahmer/,en,it,2240px-Anthony_Hughes_1977.png,2240px-Jeffrey_Dahmer_HS_Yearbook.jpg,0.8180883526802063
data-quentes/jeffrey_dahmer/,en,de,2240px-Steven_Tuomi_1979.png,2240px-Milwaukee_County_Courthouse.jpg,0.9676177762448788
data-quentes/jeffrey_dahmer/,en,de,2240px-Steven_Tuomi_1979.png,2240px-Shops_of_Grand_Avenue.jpg,0.954756285995245
data-quentes/jeffrey_dahmer/,en,de,2240px-Steven_Tuomi_1979.png,2240px-Usa_edcp_%28%2BHI_%2BAK%29_location_map.svg.png,0.9388391673564911
data-quentes/jeffrey_dahmer/,en,de,2240px-Steven_Tuomi_1979.png,2240px-Jeffrey_Dahmer_HS_Yearbook.jpg,0.6695987582206726
data-quentes/jeffrey_dahmer/,en,it,2240px-57_gallon_drum_924_N_25th_Street_Jeffrey_DahmerAa.jpg,2240px-Columbia_Correctional_Institution_Wisconsin_with_guard_tower.jpg,0.9542747996747494
data-quentes/jeffrey_dahmer/,en,it,2240px-Anthony_Hughes_1977.png,2240px-Columbia_Correctional_Institution_Wisconsin_with_guard_tower.jpg,0.9585485085844994
data-quentes/jeffrey_dahmer/,en,it,2240px-Columbia_Correctional_Institution_Wisconsin_with_guard_tower.jpg,2240px-Columbia_Correctional_Institution_Wisconsin_with_guard_tower.jpg,0.0
data-quentes/jeffrey_dahmer/,en,it,2240px-Columbia_Correctional_Institution_Wisconsin_with_guard_tower.jpg,2240px-Jeffrey_Dahmer_HS_Yearbook.jpg,0.9831183440983295
data-quentes/jeffrey_dahmer/,en,it,2240px-Jeffrey_Dahmer_Altar_or_Shrine_Hand_Drawing_1991A.jpg,2240px-Columbia_Correctional_Institution_Wisconsin_with_guard_tower.jpg,0.9628534913063049
data-quentes/jeffrey_dahmer/,en,it,2240px-Jeffrey_Dahmer_Milwaukee_Police_1991_mugshot.jpg,2240px-Columbia_Correctional_Institution_Wisconsin_with_guard_tower.jpg,0.9765747785568237
data-quentes/jeffrey_dahmer/,en,it,2240px-Jeffrey_Dahmer_Altar_or_Shrine_Hand_Drawing_1991A.jpg,2240px-Jeffrey_Dahmer_HS_Yearbook.jpg,0.9445920512080193
data-quentes/jeffrey_dahmer/,en,it,2240px-Jeffrey_Dahmer_Baumholder_Army_Alcohol_RodriguezA.jpg,2240px-Columbia_Correctional_Institution_Wisconsin_with_guard_tower.jpg,0.9814821910113096
data-quentes/jeffrey_dahmer/,en,it,2240px-Kyle-cassidy-josh-hitchens-jeffrey-dahmer.jpg,2240px-Columbia_Correctional_Institution_Wisconsin_with_guard_tower.jpg,0.9378996975719929
data-quentes/jeffrey_dahmer/,en,it,2240px-Jeffrey_Dahmer_Baumholder_Army_Alcohol_RodriguezA.jpg,2240px-Jeffrey_Dahmer_HS_Yearbook.jpg,0.8816660717129707
data-quentes/jeffrey_dahmer/,en,ru,2240px-57_gallon_drum_924_N_25th_Street_Jeffrey_DahmerAa.jpg,2240px-Jeffrey-dahmer.jpg,0.9079114571213722
data-quentes/jeffrey_dahmer/,en,it,2240px-Jeffrey_Dahmer_HS_Yearbook.jpg,2240px-Jeffrey_Dahmer_HS_Yearbook.jpg,0.0
data-quentes/jeffrey_dahmer/,en,ru,2240px-57_gallon_drum_924_N_25th_Street_Jeffrey_DahmerAa.jpg,2240px-Jeffrey_Dahmer_HS_Yearbook.jpg,0.9637877121567726
data-quentes/jeffrey_dahmer/,en,it,2240px-Jeffrey_Dahmer_Milwaukee_Police_1991_mugshot.jpg,2240px-Jeffrey_Dahmer_HS_Yearbook.jpg,0.8444679081439972
data-quentes/jeffrey_dahmer/,en,it,2240px-Konerak_Sinthasomphone.jpg,2240px-Columbia_Correctional_Institution_Wisconsin_with_guard_tower.jpg,0.9688507188111544
data-quentes/jeffrey_dahmer/,en,it,2240px-Konerak_Sinthasomphone.jpg,2240px-Jeffrey_Dahmer_HS_Yearbook.jpg,0.7397548258304596
data-quentes/jeffrey_dahmer/,en,it,2240px-Steven_Tuomi_1979.png,2240px-Columbia_Correctional_Institution_Wisconsin_with_guard_tower.jpg,0.9781397972255945
data-quentes/jeffrey_dahmer/,en,it,2240px-Steven_Tuomi_1979.png,2240px-Jeffrey_Dahmer_HS_Yearbook.jpg,0.6695987582206726
data-quentes/jeffrey_dahmer/,en,ru,2240px-Anthony_Hughes_1977.png,2240px-Jeffrey-dahmer.jpg,0.8535868376493454
data-quentes/jeffrey_dahmer/,en,ru,2240px-Anthony_Hughes_1977.png,2240px-Jeffrey_Dahmer_HS_Yearbook.jpg,0.8180883526802063
data-quentes/jeffrey_dahmer/,en,it,2240px-Kyle-cassidy-josh-hitchens-jeffrey-dahmer.jpg,2240px-Jeffrey_Dahmer_HS_Yearbook.jpg,0.9436599016189575
